Fritillaria pinetorum
Fritillaria striata
Mentzelia affinis
Mentzelia albicaulis
Mentzelia congesta
Mentzelia dispersa
Mentzelia pectinata
Mentzelia veatchiana
Ammannia robusta
Lythrum californicum
Eremalche exilis
Eremalche parryi subsp. kernensis
Fremontodendron californicum
Malacothamnus fremontii
Malva parviflora
Malvella leprosa
Sidalcea sparsifolia
Proboscidea louisianica subsp. louisianica
Toxicoscordion venenosum var. venenosum
Melia azedarach
Calandrinia menziesii
Calyptridium monandrum
Claytonia exigua subsp. exigua
Claytonia exigua subsp. glauca
Claytonia parviflora subsp. parviflora
Claytonia perfoliata subsp. intermontana
Claytonia perfoliata subsp. mexicana
Claytonia perfoliata subsp. perfoliata
Claytonia rubra
Castilleja affinis subsp. affinis
Castilleja applegatei subsp. pinetorum
Castilleja attenuata
Castilleja chromosa
Castilleja exserta subsp. exserta
Castilleja subinclusa subsp. subinclusa
Cordylanthus rigidus subsp. brevibracteatus
Cordylanthus rigidus subsp. rigidus
Kopsiopsis strobilacea
Orobanche bulbosa
Orobanche californica subsp. feudgei
Orobanche fasciculata
Orobanche parishii subsp. parishii
Pedicularis densiflora
Argemone munita
Dendromecon rigida
Ehrendorferia chrysantha
Eschscholzia caespitosa
Eschscholzia californica
Eschscholzia lemmonii subsp. kernensis
Eschscholzia lemmonii subsp. lemmonii
Hesperomecon linearis
Papaver heterophyllum
Platystemon californicus
Erythranthe sierrae
Mimulus androsaceus
Mimulus bolanderi
Mimulus cardinalis
Mimulus congdonii
Mimulus constrictus
Mimulus floribundus
Mimulus fremontii
Mimulus guttatus
Mimulus inconspicuus
Mimulus moschatus
Mimulus pictus
Mimulus pilosus
Mimulus torreyi
Abies concolor
Pinus coulteri
Pinus jeffreyi
Pinus lambertiana
Pinus monophylla
Pinus ponderosa
Pinus sabiniana
Elymus stebbinsii
Elymus trachycaulus subsp. trachycaulus
Elymus triticoides
Elymus Xhansenii
Festuca arundinacea
Festuca bromoides
Festuca microstachys
Festuca myuros
Festuca octoflora
Festuca perennis
Hordeum brachyantherum subsp. californicum
Hordeum depressum
Hordeum marinum subsp. gussoneanum
Hordeum murinum subsp. glaucum
Hordeum murinum subsp. leporinum
Koeleria gerardii
Koeleria macrantha
Lamarckia aurea
Melica californica
Melica frutescens
Melica imperfecta
Melica stricta
Muhlenbergia asperifolia
Muhlenbergia microsperma
Muhlenbergia rigens
Muhlenbergia utilis
Paspalum distichum
Phalaris canariensis
Poa annua
Poa bulbosa
Poa cusickii subsp. epilis
Poa howellii
Poa secunda subsp. secunda
Polypogon interruptus
Polypogon monspeliensis
Polypogon viridis
Schismus arabicus
Schismus barbatus
Secale cereale
Sporobolus airoides
Stipa cernua
Stipa hymenoides
Stipa lemmonii
Stipa speciosa
Allophyllum divaricatum
Allophyllum gilioides subsp. gilioides
Collomia grandiflora
Eriastrum densifolium subsp. austromontanum
Eriastrum densifolium subsp. densifolium
Eriastrum densifolium subsp. elongatum
Eriastrum densifolium subsp. mohavense
Eriastrum pluriflorum
Eriastrum sapphirinum subsp. sapphirinum
Eriastrum signatum
Eriogonum maculatum
Eriogonum nudum var. pauciflorum
Eriogonum nudum var. pubiflorum
Eriogonum ordii
Eriogonum palmerianum
Eriogonum plumatella
Eriogonum pusillum
Eriogonum roseum
Eriogonum saxatile
Eriogonum umbellatum var. munzii
Eriogonum viridescens
Eriogonum wrightii var. subscaposum
Eriogonum wrightii var. trachygonum
Hollisteria lanata
Mucronea perfoliata
Persicaria lapathifolia
Persicaria punctata
Polygonum aviculare subsp. depressum
Polygonum majus
Pterostegia drymarioides
Rumex californicus
Rumex conglomeratus
Rumex crispus
Rumex hymenosepalus
Rumex salicifolius
Rumex stenophyllus
Rumex violascens
Sidotheca trilobata
Eriogonum microthecum var. simpsonii
Polypodium californicum
Polypodium calirhiza
Potamogeton foliosus subsp. foliosus
Androsace elongata subsp. acuta
Cheilanthes covillei
Pellaea andromedifolia
Pellaea mucronata var. mucronata
Pentagramma pallida
Pentagramma triangularis subsp. triangularis
Aquilegia formosa
Clematis lasiantha
Clematis ligusticifolia
Delphinium gracilentum
Delphinium gypsophilum
Delphinium hansenii subsp. kernense
Delphinium hesperium
Delphinium parishii
Delphinium parryi subsp. purpureum
Salix gooddingii
Salix laevigata
Salix lasiandra var. lasiandra
Salix lasiolepis
Acer macrophyllum
Acer negundo
Aesculus californica
Anemopsis californica
Lithophragma affine
Lithophragma bolanderi
Lithophragma heterophyllum
Lithophragma parviflorum var. parviflorum
Micranthes californica
Scrophularia californica
Scrophularia desertorum
Verbascum thapsus
Selaginella bigelovii
Ailanthus altissima
Datura wrightii
Lycium cooperi
Nicotiana attenuata
Nicotiana glauca
Nicotiana quadrivalvis
Solanum douglasii
Solanum rostratum
Solanum umbelliferum
Solanum xanti
Tamarix ramosissima
Bloomeria crocea var. montana
Brodiaea coronaria
Brodiaea terrestris subsp. kernensis
Dichelostemma capitatum subsp. capitatum
Muilla maritima
Triteleia ixioides subsp. scabra
Triteleia laxa
Typha domingensis
Ulmus alata
Arceuthobium campylopodum
Phoradendron bolleanum
Phoradendron leucarpum subsp. macrophyllum
Phoradendron leucarpum subsp. tomentosum
Vitis californica
Vitis girdiana
Cystopteris fragilis
Woodsia oregana
Zannichellia palustris
Larrea tridentata
Tribulus terrestris
